,is_on,voltage,current,power,time,cap_ah,cap_wh,temp,set_current,set_voltage,set_timer
0,0.0,4.015,0.0,0.0,00:00:00,0.0,0.0,23.0,0.0,0.0,00:00:00
1,0.0,4.016,0.0,0.0,00:00:00,0.0,0.0,23.0,0.0,0.0,00:00:00
2,0.0,4.014,0.0,0.0,00:00:00,0.0,0.0,23.0,0.0,2.5,00:00:00
5,0.0,4.015,0.0,0.0,00:00:00,0.0,0.0,24.0,0.0,2.5,00:00:00
6,0.0,4.016,0.0,0.0,00:00:00,0.0,0.0,24.0,0.0,2.5,00:00:00
10,0.0,4.016,0.0,0.0,00:00:00,0.0,0.0,23.0,0.0,2.5,00:00:00
11,0.0,4.015,0.0,0.0,00:00:00,0.0,0.0,23.0,0.0,2.5,00:00:00
40,0.0,4.017,0.0,0.0,00:00:00,0.0,0.0,23.0,0.0,2.5,00:00:00
52,0.0,4.018,0.0,0.0,00:00:00,0.0,0.0,23.0,0.0,2.5,00:00:00
70,0.0,4.013,0.0,0.0,00:00:00,0.0,0.0,23.0,0.0,2.5,00:00:00
110,0.0,4.014,0.0,0.0,00:00:00,0.0,0.0,24.0,0.0,2.5,00:00:00
111,0.0,4.013,0.0,0.0,00:00:00,0.0,0.0,24.0,0.0,2.5,00:00:00
113,0.0,4.012,0.0,0.0,00:00:00,0.0,0.0,24.0,0.0,2.5,00:00:00
123,0.0,4.012,0.0,0.0,00:00:00,0.0,0.0,23.0,0.0,2.5,00:00:00
140,0.0,4.011,0.0,0.0,00:00:00,0.0,0.0,23.0,0.0,2.5,00:00:00
257,0.0,4.01,0.0,0.0,00:00:00,0.0,0.0,24.0,0.0,2.5,00:00:00
258,0.0,4.011,0.0,0.0,00:00:00,0.0,0.0,24.0,0.0,2.5,00:00:00
297,0.0,4.013,0.0,0.0,00:00:00,0.0,0.0,24.0,0.0,3.0,00:00:00
298,0.0,4.011,0.0,0.0,00:00:00,0.0,0.0,24.0,0.0,3.0,00:00:00
299,0.0,4.012,0.0,0.0,00:00:00,0.0,0.0,24.0,0.0,3.0,00:00:00
300,0.0,4.01,0.0,0.0,00:00:00,0.0,0.0,24.0,0.0,3.0,00:00:00
307,0.0,4.014,0.0,0.0,00:00:00,0.0,0.0,24.0,0.0,3.0,00:00:00
340,0.0,4.011,0.0,0.0,00:00:00,0.0,0.0,23.0,0.0,3.0,00:00:00
341,0.0,4.01,0.0,0.0,00:00:00,0.0,0.0,23.0,0.0,3.0,00:00:00
344,0.0,4.012,0.0,0.0,00:00:00,0.0,0.0,23.0,0.5,3.0,00:00:00
345,0.0,4.012,0.0,0.0,00:00:00,0.0,0.0,24.0,0.5,3.0,00:00:00
347,0.0,4.011,0.0,0.0,00:00:00,0.0,0.0,24.0,0.5,3.0,00:00:00
350,1.0,3.98,0.517,0.0,00:00:00,0.0,0.0,23.0,0.5,3.0,00:00:00
351,1.0,3.972,0.498,2.058,00:00:01,0.0,0.0,23.0,0.5,3.0,00:00:00
352,1.0,3.972,0.5,1.978,00:00:01,0.0,0.0,23.0,0.5,3.0,00:00:00
353,1.0,3.97,0.496,1.986,00:00:02,0.0,0.0,23.0,0.5,3.0,00:00:00
354,1.0,3.969,0.497,1.969,00:00:03,0.0,0.0,23.0,0.5,3.0,00:00:00
355,1.0,3.969,0.497,1.973,00:00:03,0.0,0.0,24.0,0.5,3.0,00:00:00
356,1.0,3.969,0.497,1.973,00:00:04,0.0,0.0,24.0,0.5,3.0,00:00:00
357,1.0,3.97,0.497,1.973,00:00:05,0.0,0.0,24.0,0.5,3.0,00:00:00
358,1.0,3.969,0.499,1.973,00:00:05,0.0,0.0,24.0,0.5,3.0,00:00:00
359,1.0,3.967,0.497,1.981,00:00:06,0.0,0.0,24.0,0.5,3.0,00:00:00
360,1.0,3.967,0.496,1.972,00:00:07,0.0,0.0,24.0,0.5,3.0,00:00:00
361,1.0,3.966,0.497,1.968,00:00:07,0.0,0.0,24.0,0.5,3.0,00:00:00
362,1.0,3.966,0.5,1.971,00:00:08,0.001,0.0,24.0,0.5,3.0,00:00:00
363,1.0,3.967,0.502,1.983,00:00:09,0.001,0.0,24.0,0.5,3.0,00:00:00
364,1.0,3.966,0.503,1.991,00:00:09,0.001,0.0,24.0,0.5,3.0,00:00:00
365,1.0,3.965,0.503,1.995,00:00:10,0.001,0.0,24.0,0.5,3.0,00:00:00
366,1.0,3.965,0.501,1.994,00:00:11,0.001,0.0,24.0,0.5,3.0,00:00:00
367,1.0,3.964,0.503,1.986,00:00:11,0.001,0.0,24.0,0.5,3.0,00:00:00
368,1.0,3.965,0.503,1.994,00:00:12,0.001,0.0,24.0,0.5,3.0,00:00:00
369,1.0,3.965,0.502,1.994,00:00:13,0.001,0.0,24.0,0.5,3.0,00:00:00
370,1.0,3.965,0.503,1.99,00:00:13,0.001,0.0,24.0,0.5,3.0,00:00:00
371,1.0,3.965,0.503,1.994,00:00:14,0.001,0.0,24.0,0.5,3.0,00:00:00
372,1.0,3.966,0.497,1.994,00:00:15,0.002,0.0,24.0,0.5,3.0,00:00:00
373,1.0,3.964,0.5,1.971,00:00:15,0.002,0.0,24.0,0.5,3.0,00:00:00
374,1.0,3.964,0.499,1.982,00:00:16,0.002,0.0,24.0,0.5,3.0,00:00:00
375,1.0,3.964,0.501,1.978,00:00:17,0.002,0.0,24.0,0.5,3.0,00:00:00
376,1.0,3.964,0.499,1.986,00:00:17,0.002,0.0,24.0,0.5,3.0,00:00:00
377,1.0,3.964,0.497,1.978,00:00:18,0.002,0.0,24.0,0.5,3.0,00:00:00
378,1.0,3.963,0.497,1.97,00:00:19,0.002,0.0,24.0,0.5,3.0,00:00:00
379,1.0,3.961,0.497,1.97,00:00:19,0.002,0.0,24.0,0.5,3.0,00:00:00
380,1.0,3.963,0.496,1.969,00:00:20,0.002,0.0,24.0,0.5,3.0,00:00:00
381,1.0,3.961,0.498,1.966,00:00:21,0.002,0.0,24.0,0.5,3.0,00:00:00
382,1.0,3.961,0.499,1.973,00:00:21,0.002,0.0,24.0,0.5,3.0,00:00:00
383,1.0,3.961,0.497,1.977,00:00:22,0.003,0.0,24.0,0.5,3.0,00:00:00
384,1.0,3.96,0.497,1.969,00:00:23,0.003,0.0,24.0,0.5,3.0,00:00:00
385,1.0,3.961,0.499,1.968,00:00:23,0.003,0.0,24.0,0.5,3.0,00:00:00
386,1.0,3.96,0.496,1.977,00:00:24,0.003,0.0,24.0,0.5,3.0,00:00:00
387,1.0,3.961,0.498,1.964,00:00:25,0.003,0.0,24.0,0.5,3.0,00:00:00
388,1.0,3.961,0.499,1.973,00:00:25,0.003,0.0,24.0,0.5,3.0,00:00:00
389,1.0,3.961,0.497,1.977,00:00:26,0.003,0.0,24.0,0.5,3.0,00:00:00
390,1.0,3.96,0.497,1.969,00:00:27,0.003,0.0,24.0,0.5,3.0,00:00:00
391,1.0,3.961,0.499,1.968,00:00:27,0.003,0.0,24.0,0.5,3.0,00:00:00
392,1.0,3.959,0.497,1.977,00:00:28,0.003,0.0,24.0,0.5,3.0,00:00:00
393,1.0,3.959,0.499,1.968,00:00:29,0.004,0.0,24.0,0.5,3.0,00:00:00
394,1.0,3.958,0.501,1.976,00:00:29,0.004,0.0,24.0,0.5,3.0,00:00:00
395,1.0,3.958,0.502,1.983,00:00:30,0.004,0.0,24.0,0.5,3.0,00:00:00
396,1.0,3.958,0.502,1.987,00:00:31,0.004,0.0,24.0,0.5,3.0,00:00:00
397,1.0,3.96,0.502,1.987,00:00:31,0.004,0.0,24.0,0.5,3.0,00:00:00
398,1.0,3.959,0.503,1.988,00:00:32,0.004,0.0,24.0,0.5,3.0,00:00:00
399,1.0,3.959,0.503,1.991,00:00:33,0.004,0.0,24.0,0.5,3.0,00:00:00
400,1.0,3.959,0.497,1.991,00:00:33,0.004,0.0,24.0,0.5,3.0,00:00:00
401,1.0,3.959,0.497,1.968,00:00:34,0.004,0.0,24.0,0.5,3.0,00:00:00
402,1.0,3.959,0.498,1.968,00:00:35,0.004,0.0,24.0,0.5,3.0,00:00:00
403,1.0,3.959,0.501,1.972,00:00:35,0.004,0.0,24.0,0.5,3.0,00:00:00
404,1.0,3.959,0.5,1.983,00:00:36,0.004,0.0,24.0,0.5,3.0,00:00:00
405,1.0,3.959,0.501,1.98,00:00:37,0.005,0.0,24.0,0.5,3.0,00:00:00
406,1.0,3.958,0.501,1.983,00:00:37,0.005,0.0,24.0,0.5,3.0,00:00:00
407,1.0,3.957,0.503,1.983,00:00:38,0.005,0.0,24.0,0.5,3.0,00:00:00
408,1.0,3.956,0.498,1.99,00:00:39,0.005,0.0,24.0,0.5,3.0,00:00:00
409,1.0,3.956,0.501,1.97,00:00:39,0.005,0.0,24.0,0.5,3.0,00:00:00
410,1.0,3.957,0.497,1.982,00:00:40,0.005,0.0,24.0,0.5,3.0,00:00:00
411,1.0,3.957,0.496,1.967,00:00:41,0.005,0.0,24.0,0.5,3.0,00:00:00
