,is_on,voltage,current,power,time,cap_ah,cap_wh,temp,set_current,set_voltage,set_timer
0,0.0,4.209,0.0,0.0,00:00:00,0.0,0.0,33.0,0.0,0.0,00:00:00
1,0.0,4.21,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,0.0,00:00:00
2,0.0,4.209,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
4,0.0,4.21,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
20,0.0,4.211,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
23,0.0,4.208,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
39,0.0,4.213,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
47,0.0,0.151,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
54,0.0,4.045,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
55,0.0,4.205,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
58,0.0,2.05,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
59,0.0,0.0,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
60,0.0,0.042,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
61,0.0,0.015,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
62,0.0,0.012,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
63,0.0,0.006,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
64,0.0,0.007,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
65,0.0,3.018,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
66,0.0,4.157,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
73,0.0,4.199,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
74,0.0,0.008,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
75,0.0,0.013,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
78,0.0,0.066,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
79,0.0,0.01,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
88,0.0,0.067,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
89,0.0,0.039,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
90,0.0,0.009,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
92,0.0,0.014,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
94,0.0,0.003,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
95,0.0,0.023,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
96,0.0,3.453,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
97,0.0,4.197,0.0,0.0,00:00:00,0.0,0.0,33.0,1.55,2.5,00:00:00
110,0.0,4.209,0.0,0.0,00:00:00,0.0,0.0,32.0,1.55,2.5,00:00:00
114,0.0,4.21,0.0,0.0,00:00:00,0.0,0.0,32.0,1.55,2.5,00:00:00
119,0.0,4.211,0.0,0.0,00:00:00,0.0,0.0,32.0,1.55,2.5,00:00:00
122,0.0,4.209,0.0,0.0,00:00:00,0.0,0.0,32.0,1.0,2.5,00:00:00
132,0.0,4.21,0.0,0.0,00:00:00,0.0,0.0,32.0,1.0,2.5,00:00:00
139,0.0,4.208,0.0,0.0,00:00:00,0.0,0.0,32.0,1.0,2.5,00:00:00
163,0.0,4.207,0.0,0.0,00:00:00,0.0,0.0,32.0,1.0,2.5,00:00:00
165,0.0,4.211,0.0,0.0,00:00:00,0.0,0.0,32.0,1.0,2.5,00:00:00
168,1.0,4.101,0.903,0.0,00:00:01,0.0,0.0,32.0,1.0,2.5,00:00:00
169,1.0,4.082,0.997,3.703,00:00:02,0.0,0.0,32.0,1.0,2.5,00:00:00
170,1.0,4.076,1.0,4.07,00:00:02,0.0,0.0,32.0,1.0,2.5,00:00:00
171,1.0,4.074,1.0,4.076,00:00:03,0.0,0.0,32.0,1.0,2.5,00:00:00
172,1.0,4.07,1.0,4.074,00:00:04,0.0,0.0,32.0,1.0,2.5,00:00:00
173,1.0,4.069,1.0,4.07,00:00:04,0.0,0.0,32.0,1.0,2.5,00:00:00
174,1.0,4.066,1.0,4.069,00:00:05,0.001,0.0,32.0,1.0,2.5,00:00:00
175,1.0,4.065,1.0,4.066,00:00:06,0.001,0.0,32.0,1.0,2.5,00:00:00
176,1.0,4.062,1.0,4.065,00:00:06,0.001,0.0,32.0,1.0,2.5,00:00:00
177,1.0,4.059,1.001,4.062,00:00:07,0.001,0.0,32.0,1.0,2.5,00:00:00
178,1.0,4.057,1.0,4.063,00:00:08,0.002,0.0,32.0,1.0,2.5,00:00:00
179,1.0,4.055,1.0,4.057,00:00:08,0.002,0.0,32.0,1.0,2.5,00:00:00
180,1.0,4.054,1.0,4.055,00:00:09,0.002,0.0,32.0,1.0,2.5,00:00:00
181,1.0,4.053,1.0,4.054,00:00:10,0.002,0.0,32.0,1.0,2.5,00:00:00
182,1.0,4.051,1.0,4.053,00:00:10,0.002,0.0,32.0,1.0,2.5,00:00:00
183,1.0,4.049,1.0,4.051,00:00:11,0.002,0.0,32.0,1.0,2.5,00:00:00
184,1.0,4.048,1.002,4.049,00:00:12,0.003,0.0,32.0,1.0,2.5,00:00:00
185,1.0,4.047,1.0,4.056,00:00:12,0.003,0.0,32.0,1.0,2.5,00:00:00
186,1.0,4.045,1.0,4.047,00:00:13,0.003,0.0,32.0,1.0,2.5,00:00:00
187,1.0,4.043,1.0,4.045,00:00:14,0.003,0.0,32.0,1.0,2.5,00:00:00
