,is_on,voltage,current,power,time,cap_ah,cap_wh,temp,set_current,set_voltage,set_timer
0,0.0,0.001,0.0,0.0,00:00:06,0.001,0.0,23.0,0.0,0.0,00:00:00
1,0.0,0.0,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,0.0,00:00:00
2,0.0,0.002,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:00:00
3,0.0,0.001,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
4,0.0,0.0,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
5,0.0,0.011,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
7,0.0,0.08,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
8,0.0,0.1,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
9,0.0,0.017,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
10,0.0,0.004,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
11,0.0,3.892,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
12,0.0,4.169,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
13,0.0,4.18,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
16,0.0,4.179,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
24,0.0,4.178,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
26,0.0,4.177,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
29,0.0,0.022,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
30,0.0,0.084,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
31,0.0,0.026,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
36,0.0,0.002,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
58,0.0,0.003,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
87,0.0,0.005,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
113,0.0,0.006,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
144,0.0,0.02,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
145,0.0,0.021,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
146,0.0,0.009,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
147,0.0,0.04,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
148,0.0,0.55,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
149,0.0,4.176,0.0,0.0,00:00:06,0.001,0.0,23.0,1.0,2.5,00:55:00
166,0.0,4.18,0.0,0.0,00:00:06,0.001,0.0,23.0,1.55,2.5,00:55:00
168,0.0,4.181,0.0,0.0,00:00:06,0.001,0.0,23.0,1.55,2.5,00:55:00
170,0.0,4.179,0.0,0.0,00:00:06,0.001,0.0,23.0,1.55,2.5,00:55:00
172,0.0,4.182,0.0,0.0,00:00:06,0.001,0.0,23.0,1.55,2.5,00:55:00
180,0.0,4.183,0.0,0.0,00:00:06,0.001,0.0,23.0,1.55,2.5,00:55:00
195,0.0,4.178,0.0,0.0,00:00:06,0.001,0.0,23.0,1.55,2.5,00:55:00
198,0.0,4.177,0.0,0.0,00:00:06,0.001,0.0,23.0,1.55,2.5,00:55:00
233,0.0,4.176,0.0,0.0,00:00:06,0.001,0.0,23.0,1.55,2.5,00:55:00
240,0.0,4.175,0.0,0.0,00:00:06,0.001,0.0,23.0,1.55,2.5,00:55:00
243,1.0,4.092,1.304,0.0,00:00:07,0.002,0.0,23.0,1.55,2.5,00:55:00
244,1.0,4.074,1.534,5.336,00:00:07,0.002,0.0,23.0,1.55,2.5,00:55:00
245,1.0,4.073,1.546,6.25,00:00:08,0.002,0.0,23.0,1.55,2.5,00:55:00
246,1.0,4.071,1.552,6.297,00:00:09,0.002,0.0,23.0,1.55,2.5,00:55:00
247,1.0,4.07,1.551,6.318,00:00:09,0.002,0.0,23.0,1.55,2.5,00:55:00
248,1.0,4.068,1.552,6.313,00:00:10,0.003,0.0,23.0,1.55,2.5,00:55:00
249,1.0,4.066,1.551,6.314,00:00:11,0.003,0.0,23.0,1.55,2.5,00:55:00
250,1.0,4.063,1.552,6.306,00:00:11,0.003,0.0,23.0,1.55,2.5,00:55:00
251,1.0,4.062,1.548,6.306,00:00:12,0.004,0.0,23.0,1.55,2.5,00:55:00
252,1.0,4.061,1.551,6.288,00:00:13,0.004,0.0,23.0,1.55,2.5,00:55:00
253,1.0,4.06,1.55,6.299,00:00:13,0.004,0.0,23.0,1.55,2.5,00:55:00
254,1.0,4.06,1.552,6.293,00:00:14,0.005,0.0,23.0,1.55,2.5,00:55:00
255,1.0,4.058,1.552,6.301,00:00:15,0.005,0.0,23.0,1.55,2.5,00:55:00
256,1.0,4.059,1.549,6.298,00:00:15,0.005,0.0,23.0,1.55,2.5,00:55:00
257,1.0,4.054,1.552,6.287,00:00:16,0.005,0.0,23.0,1.55,2.5,00:55:00
258,1.0,4.054,1.551,6.292,00:00:17,0.006,0.0,23.0,1.55,2.5,00:55:00
259,1.0,4.054,1.547,6.288,00:00:17,0.006,0.1,23.0,1.55,2.5,00:55:00
260,1.0,4.054,1.552,6.272,00:00:18,0.006,0.1,23.0,1.55,2.5,00:55:00
261,1.0,4.052,1.551,6.292,00:00:19,0.007,0.1,23.0,1.55,2.5,00:55:00
262,1.0,4.052,1.548,6.285,00:00:19,0.007,0.1,23.0,1.55,2.5,00:55:00
263,1.0,4.052,1.552,6.272,00:00:20,0.007,0.1,23.0,1.55,2.5,00:55:00
264,1.0,4.05,1.552,6.289,00:00:21,0.008,0.1,23.0,1.55,2.5,00:55:00
265,1.0,4.049,1.547,6.286,00:00:21,0.008,0.1,23.0,1.55,2.5,00:55:00
266,1.0,4.05,1.552,6.264,00:00:22,0.008,0.1,23.0,1.55,2.5,00:55:00
267,1.0,4.049,1.548,6.286,00:00:23,0.008,0.1,23.0,1.55,2.5,00:55:00
268,1.0,4.047,1.552,6.268,00:00:23,0.008,0.1,23.0,1.55,2.5,00:55:00
269,1.0,4.048,1.552,6.281,00:00:24,0.009,0.1,23.0,1.55,2.5,00:55:00
270,1.0,4.047,1.545,6.282,00:00:25,0.009,0.1,23.0,1.55,2.5,00:55:00
