,is_on,voltage,current,power,time,cap_ah,cap_wh,temp,set_current,set_voltage,set_timer
0,0.0,4.011,0.0,0.0,00:00:00,0.0,0.0,24.0,1.0,3.0,00:00:00
1,0.0,4.01,0.0,0.0,00:00:00,0.0,0.0,24.0,1.0,3.0,00:00:00
2,0.0,4.009,0.0,0.0,00:00:00,0.0,0.0,24.0,1.0,3.0,00:00:00
3,0.0,4.008,0.0,0.0,00:00:00,0.0,0.0,24.0,1.0,3.0,00:00:00
41,0.0,4.007,0.0,0.0,00:00:00,0.0,0.0,24.0,1.0,3.0,00:00:00
91,1.0,3.939,0.838,0.0,00:00:00,0.0,0.0,24.0,1.0,3.0,00:00:00
92,1.0,3.924,0.993,3.301,00:00:01,0.0,0.0,24.0,1.0,3.0,00:00:00
93,1.0,3.924,0.998,3.897,00:00:01,0.0,0.0,24.0,1.0,3.0,00:00:00
94,1.0,3.921,0.998,3.916,00:00:02,0.0,0.0,24.0,1.0,3.0,00:00:00
95,1.0,3.92,0.998,3.913,00:00:03,0.0,0.0,24.0,1.0,3.0,00:00:00
96,1.0,3.92,0.998,3.912,00:00:03,0.0,0.0,24.0,1.0,3.0,00:00:00
97,1.0,3.917,0.998,3.912,00:00:04,0.001,0.0,24.0,1.0,3.0,00:00:00
98,1.0,3.916,0.998,3.909,00:00:05,0.001,0.0,24.0,1.0,3.0,00:00:00
99,1.0,3.916,0.998,3.908,00:00:05,0.001,0.0,24.0,1.0,3.0,00:00:00
100,1.0,3.915,1.0,3.908,00:00:06,0.001,0.0,24.0,1.0,3.0,00:00:00
101,1.0,3.914,1.004,3.915,00:00:07,0.001,0.0,24.0,1.0,3.0,00:00:00
102,1.0,3.914,1.004,3.93,00:00:07,0.001,0.0,24.0,1.0,3.0,00:00:00
103,1.0,3.914,1.001,3.93,00:00:08,0.002,0.0,24.0,1.0,3.0,00:00:00
104,1.0,3.914,0.999,3.918,00:00:09,0.002,0.0,24.0,1.0,3.0,00:00:00
105,1.0,3.914,0.998,3.91,00:00:09,0.002,0.0,24.0,1.0,3.0,00:00:00
106,1.0,3.912,0.998,3.906,00:00:10,0.002,0.0,24.0,1.0,3.0,00:00:00
107,1.0,3.911,1.004,3.904,00:00:11,0.003,0.0,24.0,1.0,3.0,00:00:00
108,1.0,3.91,1.0,3.927,00:00:11,0.003,0.0,24.0,1.0,3.0,00:00:00
109,1.0,3.911,0.999,3.91,00:00:12,0.003,0.0,24.0,1.0,3.0,00:00:00
110,1.0,3.909,0.998,3.907,00:00:13,0.003,0.0,24.0,1.0,3.0,00:00:00
111,1.0,3.908,1.004,3.901,00:00:13,0.003,0.0,24.0,1.0,3.0,00:00:00
112,1.0,3.908,1.004,3.924,00:00:14,0.003,0.0,24.0,1.0,3.0,00:00:00
113,1.0,3.908,1.001,3.924,00:00:15,0.004,0.0,24.0,1.0,3.0,00:00:00
114,1.0,3.909,1.0,3.912,00:00:15,0.004,0.0,24.0,1.0,3.0,00:00:00
115,1.0,3.908,1.002,3.909,00:00:16,0.004,0.0,24.0,1.0,3.0,00:00:00
116,1.0,3.908,1.001,3.916,00:00:17,0.004,0.0,24.0,1.0,3.0,00:00:00
117,1.0,3.906,1.0,3.912,00:00:17,0.004,0.0,24.0,1.0,3.0,00:00:00
118,1.0,3.906,0.999,3.906,00:00:18,0.005,0.0,24.0,1.0,3.0,00:00:00
119,1.0,3.906,0.998,3.902,00:00:19,0.005,0.0,24.0,1.0,3.0,00:00:00
120,1.0,3.904,1.0,3.898,00:00:19,0.005,0.0,24.0,1.0,3.0,00:00:00
121,1.0,3.903,0.998,3.904,00:00:20,0.005,0.0,24.0,1.0,3.0,00:00:00
122,1.0,3.902,0.998,3.895,00:00:21,0.005,0.0,24.0,1.0,3.0,00:00:00
123,1.0,3.902,1.003,3.894,00:00:21,0.005,0.0,24.0,1.0,3.0,00:00:00
124,1.0,3.902,1.002,3.914,00:00:22,0.006,0.0,24.0,1.0,3.0,00:00:00
125,1.0,3.901,0.998,3.91,00:00:23,0.006,0.0,24.0,1.0,3.0,00:00:00
126,1.0,3.901,0.998,3.893,00:00:23,0.006,0.0,24.0,1.0,3.0,00:00:00
127,1.0,3.9,0.998,3.893,00:00:24,0.006,0.0,25.0,1.0,3.0,00:00:00
128,1.0,3.9,1.01,3.892,00:00:25,0.006,0.0,25.0,1.0,3.0,00:00:00
129,1.0,3.9,0.999,3.939,00:00:25,0.006,0.0,25.0,1.0,3.0,00:00:00
130,1.0,3.899,1.002,3.896,00:00:26,0.007,0.0,25.0,1.0,3.0,00:00:00
131,1.0,3.9,0.999,3.907,00:00:27,0.007,0.1,25.0,1.0,3.0,00:00:00
132,1.0,3.9,0.998,3.896,00:00:27,0.007,0.1,24.0,1.0,3.0,00:00:00
133,1.0,3.897,0.999,3.892,00:00:28,0.007,0.1,24.0,1.0,3.0,00:00:00
134,1.0,3.898,0.998,3.893,00:00:29,0.008,0.1,24.0,1.0,3.0,00:00:00
