,is_on,voltage,current,power,time,cap_ah,cap_wh,temp,set_current,set_voltage,set_timer
0,0.0,4.228,0.0,0.0,00:00:00,0.0,0.0,27.0,10.0,2.5,00:00:00
1,0.0,4.227,0.0,0.0,00:00:00,0.0,0.0,27.0,10.0,2.5,00:00:00
2,0.0,4.229,0.0,0.0,00:00:00,0.0,0.0,27.0,10.0,2.5,00:00:00
5,0.0,4.226,0.0,0.0,00:00:00,0.0,0.0,27.0,10.0,2.5,00:00:00
11,0.0,4.23,0.0,0.0,00:00:00,0.0,0.0,27.0,10.0,2.5,00:00:00
12,1.0,3.842,10.388,0.0,00:00:01,0.001,0.0,27.0,10.0,2.5,00:00:00
13,1.0,3.837,9.925,39.911,00:00:01,0.001,0.0,27.0,10.0,2.5,00:00:00
14,1.0,3.826,9.982,38.082,00:00:02,0.003,0.0,27.0,10.0,2.5,00:00:00
15,1.0,3.82,10.001,38.191,00:00:03,0.006,0.1,27.0,10.0,2.5,00:00:00
16,1.0,3.813,9.996,38.204,00:00:03,0.006,0.1,27.0,10.0,2.5,00:00:00
17,1.0,3.809,9.999,38.115,00:00:04,0.009,0.1,27.0,10.0,2.5,00:00:00
18,1.0,3.803,10.003,38.086,00:00:05,0.012,0.1,27.0,10.0,2.5,00:00:00
19,1.0,3.801,10.0,38.041,00:00:05,0.012,0.1,27.0,10.0,2.5,00:00:00
20,1.0,3.795,10.0,38.01,00:00:06,0.014,0.1,27.0,10.0,2.5,00:00:00
21,1.0,3.793,10.001,37.95,00:00:07,0.017,0.1,27.0,10.0,2.5,00:00:00
22,1.0,3.789,9.999,37.934,00:00:08,0.02,0.1,27.0,10.0,2.5,00:00:00
23,1.0,3.787,10.001,37.886,00:00:08,0.02,0.1,27.0,10.0,2.5,00:00:00
24,1.0,3.783,10.004,37.874,00:00:09,0.023,0.1,27.0,10.0,2.5,00:00:00
25,1.0,3.781,9.998,37.845,00:00:10,0.026,0.1,27.0,10.0,2.5,00:00:00
26,1.0,3.778,10.0,37.802,00:00:10,0.026,0.1,28.0,10.0,2.5,00:00:00
27,1.0,3.775,10.005,37.78,00:00:11,0.028,0.1,28.0,10.0,2.5,00:00:00
28,1.0,3.772,9.995,37.769,00:00:12,0.031,0.1,28.0,10.0,2.5,00:00:00
29,1.0,3.768,10.003,37.701,00:00:12,0.031,0.1,28.0,10.0,2.5,00:00:00
30,1.0,3.766,10.008,37.691,00:00:13,0.034,0.2,28.0,10.0,2.5,00:00:00
31,1.0,3.764,9.994,37.69,00:00:14,0.037,0.2,29.0,10.0,2.5,00:00:00
32,1.0,3.762,10.003,37.617,00:00:14,0.037,0.2,29.0,10.0,2.5,00:00:00
33,1.0,3.76,9.998,37.631,00:00:15,0.039,0.2,29.0,10.0,2.5,00:00:00
34,1.0,3.757,10.132,37.592,00:00:16,0.042,0.2,29.0,10.0,2.5,00:00:00
35,1.0,3.755,10.0,38.066,00:00:16,0.042,0.2,29.0,10.0,2.5,00:00:00
36,1.0,3.753,10.002,37.55,00:00:17,0.045,0.2,29.0,10.0,2.5,00:00:00
37,1.0,3.751,9.998,37.538,00:00:18,0.048,0.2,29.0,10.0,2.5,00:00:00
38,1.0,3.747,10.001,37.502,00:00:18,0.048,0.2,29.0,10.0,2.5,00:00:00
39,1.0,3.745,10.003,37.474,00:00:19,0.051,0.2,29.0,10.0,2.5,00:00:00
40,1.0,3.744,9.997,37.461,00:00:20,0.053,0.2,29.0,10.0,2.5,00:00:00
41,1.0,3.742,10.001,37.429,00:00:20,0.053,0.2,30.0,10.0,2.5,00:00:00
42,1.0,3.74,10.002,37.424,00:00:21,0.056,0.2,30.0,10.0,2.5,00:00:00
43,1.0,3.738,9.998,37.407,00:00:22,0.059,0.2,30.0,10.0,2.5,00:00:00
44,1.0,3.736,10.0,37.373,00:00:22,0.059,0.2,30.0,10.0,2.5,00:00:00
45,1.0,3.734,10.002,37.36,00:00:23,0.062,0.3,30.0,10.0,2.5,00:00:00
46,1.0,3.733,9.998,37.347,00:00:24,0.064,0.3,30.0,10.0,2.5,00:00:00
47,1.0,3.732,10.005,37.323,00:00:24,0.064,0.3,30.0,10.0,2.5,00:00:00
48,1.0,3.731,10.001,37.339,00:00:25,0.067,0.3,30.0,10.0,2.5,00:00:00
49,1.0,3.729,9.996,37.314,00:00:26,0.07,0.3,30.0,10.0,2.5,00:00:00
50,1.0,3.728,10.005,37.275,00:00:26,0.07,0.3,30.0,10.0,2.5,00:00:00
51,1.0,3.725,10.001,37.299,00:00:27,0.073,0.3,31.0,10.0,2.5,00:00:00
52,1.0,3.723,9.997,37.254,00:00:28,0.076,0.3,31.0,10.0,2.5,00:00:00
53,1.0,3.724,10.005,37.219,00:00:28,0.076,0.3,31.0,10.0,2.5,00:00:00
54,1.0,3.722,9.999,37.259,00:00:29,0.078,0.3,31.0,10.0,2.5,00:00:00
55,1.0,3.722,9.996,37.216,00:00:30,0.081,0.3,31.0,10.0,2.5,00:00:00
56,1.0,3.72,10.003,37.205,00:00:30,0.081,0.3,31.0,10.0,2.5,00:00:00
57,1.0,3.718,10.0,37.211,00:00:31,0.084,0.3,31.0,10.0,2.5,00:00:00
58,1.0,3.717,9.995,37.18,00:00:32,0.087,0.3,31.0,10.0,2.5,00:00:00
59,1.0,3.714,10.005,37.151,00:00:32,0.087,0.3,31.0,10.0,2.5,00:00:00
60,1.0,3.714,10.003,37.159,00:00:33,0.089,0.4,31.0,10.0,2.5,00:00:00
61,1.0,3.713,9.995,37.151,00:00:34,0.092,0.4,31.0,10.0,2.5,00:00:00
62,1.0,3.712,10.002,37.111,00:00:34,0.092,0.4,31.0,10.0,2.5,00:00:00
